Sample Skill,Similar Skills
hcm functional,sap hcm(0.9618103504180908),sap mm(0.9531408548355103),srm(0.9529529809951782),recruitment.(0.9503167271614075),business process.(0.9491634368896484)
asap methodology,consolidation(0.9915747046470642),material management(0.9895409941673279),cost center accounting(0.9842003583908081),treasury operations(0.9838700890541077),sap business one(0.9838248491287231)
trend analysis.,business relationship(0.9944554567337036),dispute resolution(0.9943843483924866),fraud detection(0.9930716753005981),jit(0.9922629594802856),customer success(0.9921883940696716)
fund transfer,credit management(0.9870485663414001),hedge funds(0.9851804971694946),milk(0.9837024211883545),performa invoices(0.9834654331207275),financing(0.9832572340965271)
oracle business intelligence.,software documentation(0.7590233683586121),accounting system(0.747297465801239),performance tunin...(0.7472971677780151),bpcs(0.7376132607460022),as - 400(0.7138868570327759)
performance evaluation,accounting software(0.8177109360694885),erp(0.8039289116859436),accounting software.(0.7937672734260559),sap r / 3(0.793059766292572),maintain sales(0.7875947952270508)
web technology,ppt(0.9187188148498535),coral(0.8919423818588257),pearl(0.8885527849197388),skill development(0.8870611786842346),speech recognition(0.8861718773841858)
matlab / simulink,data collection and analysis(0.6902018189430237),technical services(0.642443835735321),python script(0.6288778185844421),pearl(0.6187918186187744),sales system(0.6176664233207703)
simulink,ability to be discreet and diplomatic.(0.9854025840759277),rfq>po>grn processes(0.9853630661964417),etl tool: informatica (installation(0.9851681590080261),introduced a shadow system where the buyers would pass on their knowledge to junior members of the team to aid their training.(0.9846710562705994),2005(0.9840287566184998)
svn.,source code control(0.9479545950889587),version control systems(0.9458950161933899),issue tracking(0.9427676200866699),gitlab(0.9368085861206055),continuous integration(0.9321973323822021)
windows 10.,umts(0.9833699464797974),cad.(0.9825630187988281),digital design(0.9808570742607117),part design(0.9801633358001709),mpeg(0.9801414012908936)
linux device drivers,vhdl(0.9465011358261108),embedded c(0.943804919719696),vlsi(0.9410837292671204),embedded systems(0.9289851784706116),device drivers(0.9240401387214661)
embedded linux,jade(0.8961383700370789),scripting language(0.8886966109275818),ksh(0.8856730461120605),scripting(0.8796871304512024),shell scripting(0.8698793053627014)
linux kernel,linux device drivers(0.8849543333053589),vlsi(0.8744032382965088),embedded systems(0.8698920011520386),vhdl(0.8432171940803528),rtos(0.8421952724456787)
mmi,spring boot(0.7254328727722168),swing(0.7175101041793823),spring(0.7124857902526855),batch process(0.7102854251861572),hibernate(0.707225501537323)
cmake,tortoisesvn(0.9394708275794983),gnu(0.9300133585929871),debian(0.9296517968177795),ansible.(0.9289693832397461),continuous integration tools(0.9276374578475952)
microcontrollers.,build tool(0.8719464540481567),bitbucket(0.8677546381950378),version control software(0.8656991720199585),veritas netbackup(0.863886833190918),veritas storage foundation(0.8621153831481934)
neural networks,random forest(0.9798935651779175),statistical modelling(0.9759020805358887),probability(0.9752428531646729),svm(0.9734499454498291),regression models(0.9707930088043213)
powerpc,device drivers(0.9587214589118958),i2c(0.950041651725769),uart(0.9418564438819885),vivado(0.9417635798454285),jcl.(0.9415299892425537)
embedded microcontrollers,selenium.(0.6950411796569824),spirent(0.6881261467933655),automation(0.662238597869873),automation frameworks.(0.6560630798339844),asic verification(0.6551995277404785)
phy,isdn(0.9915225505828857),scsi(0.9900696873664856),gprs(0.9898850917816162),t1(0.9891217350959778),sccp(0.9879539608955383)
bridging,debian(0.9626366496086121),hspa(0.9578168392181396),dvb(0.9541575312614441),load balancing.(0.9522753953933716),fedora(0.9507173895835876)
asterisk,matlab(0.8173274397850037),matlab.(0.8111153841018677),embedded c(0.8011013865470886),embedded system(0.7973711490631104),labview(0.7891865968704224)
platform development,good troubleshooting(0.8050363063812256),embedded(0.7870415449142456),embedded c(0.7805070281028748),microcontroller(0.760326623916626),bug life cycle.(0.7541788816452026)
isr,layer - 3(0.9948682188987732),layer 3(0.9943042993545532),ids(0.9941105842590332),layer - 2(0.9940522909164429),802.1q(0.9938026070594788)
aif,well-versed in developing sales strategies(0.9904416799545288),skilled in managing accounts and leading engagements from prospecting and negotiating through to securing deals.(0.9892276525497437),expert analyst of market trends / competitor activity to support sound decision-making with a background of holding involvement in the launch of new products / services.(0.9883762001991272),muse(0.9883567690849304),dash(0.9880557060241699)
x++,sql server analysis services(0.963121771812439),nuke(0.9611902236938477),sell(0.961063027381897),calculations(0.9608793258666992),idt(0.9596845507621765)
morphx,microsoft(0.9442580938339233),power bi.(0.9424189925193787),internationale besteuerung(0.9420859813690186),kommunikation auf englisch(0.9410165548324585),nintex(0.9404374361038208)
r3.,web interfaces(0.8469181060791016),proven leadership(0.8265390396118164),leadership qualities.(0.8063437342643738),team - oriented(0.7987656593322754),team management skills(0.7944610714912415)
ms - office.,computer application(0.9724711179733276),internet surfing(0.9709930419921875),project report(0.9707386493682861),auto cad(0.9706589579582214),office skills(0.9703696370124817)
morphx.,csr activities(0.7161343693733215),ear(0.6707754135131836),mq - series(0.6706981062889099),force.com(0.6705407500267029),jdeveloper(0.6652823686599731)
oracle dba.,technical account manager(0.9822090864181519),stock market(0.9821394681930542),""" enterprise sales""(0.9811209440231323)",ability to work on own initiative and proactively as part of a team.(0.9810332655906677),business model(0.9809439778327942)
dba.,pl sql developer(0.9868046641349792),data visualization tools tableau(0.9861225485801697),axway(0.9843465685844421),auditing.(0.9833598732948303),ms sql server reporting services(0.9832628965377808)
core dba,oracle dba.(0.9736742377281189),business model(0.9707051515579224),technical account manager(0.9687277674674988),productive and can build effective relationships.(0.9684039950370789),well organised(0.9682018756866455)
unix / linux.,dba.(0.968796968460083),tools used: toad(0.9652237892150879),secondary skills: unix shell scripting(0.9642360806465149),etl tool: informatica (installation(0.9634626507759094),etl development(0.9626843929290771)
datapump.,rman.(0.9813756942749023),patching.(0.9780116677284241),addm(0.9764015078544617),awr(0.9732163548469543),data pump.(0.9719791412353516)
export / import,cloning(0.9953956007957458),asm(0.99454665184021),data pump(0.9921988844871521),oracle databases.(0.9889376759529114),rman(0.9854822754859924)
client meeting.,corba(0.916716456413269),jasper reports(0.9111385345458984),oracle application(0.9073998928070068),apex(0.9073689579963684),msmq(0.9068654775619507)
housekeeping,excellent telephone manner and customer service skills.(0.9926760792732239),quality engineer(0.9922784566879272),analytic and problem solving abilities.(0.9919195175170898),multi-tasking(0.9918137192726135),having the ability to listen to(0.9916348457336426)
agile ( scrum ) methodology,value stream mapping(0.9678001403808594),advent(0.9659104347229004),product vision(0.9640884399414062),test driven development.(0.9640504717826843),design development(0.9630663990974426)
scrum ) methodology,value stream mapping(0.9697737693786621),yacc(0.9659640789031982),advent(0.9651234149932861),agile testing(0.9650247693061829),design development(0.9621816873550415)
hp ( alm,cdc(0.9369386434555054),j2ee (0.9340335726737976),"technical , communication(0.930452823638916)",quality tools(0.9264841079711914),code quality tools(0.9257582426071167)
test estimation.,knowledge transfer(0.9494377374649048),functionality testing(0.9493110775947571),risk identification(0.946337103843689),rtm(0.9458068609237671),business support(0.9452977180480957)
product portfolio,new product development.(0.9775004982948303),milling(0.9765121340751648),ideation(0.9751912355422974),spectrum analyzer(0.9743685126304626),commissioning(0.9739574193954468)
writing test plan,agile testing(0.9694029688835144),rtm(0.9684982895851135),test cases.(0.9666107296943665),metrics management(0.9643739461898804),functionality testing(0.9641718864440918)
defect logging,retesting(0.987662672996521),defect tracking.(0.983574390411377),defect reporting(0.983555018901825),sanity testing(0.9834356904029846),compatibility testing(0.9834152460098267)
core banking,caching(0.975980281829834),mule(0.9748242497444153),training.(0.9721167087554932),automated testing.(0.9674834609031677),design development(0.9670096635818481)
business requirement document.,test strategies(0.9897912740707397),test cases.(0.9884442090988159),traceability matrix(0.9819095134735107),test data(0.9799402952194214),test estimation(0.9789178967475891)
pega prpc,visual basic 6.0(0.9397108554840088),iq(0.9257597923278809),opencv(0.9207260608673096),rdbms database(0.9146698713302612),microsoft certified professional(0.9139865040779114)
prpc,delphi(0.9540974497795105),sas.(0.9512323141098022),scom(0.9492723345756531),changeman(0.9487831592559814),server administration(0.9467081427574158)
duck creek,test management tool(0.9362504482269287),jira.(0.9281409978866577),test link(0.9215854406356812),defect tracking tool(0.9194157123565674),unit testing frameworks(0.9182615876197815)
aqua data studio,jcreator(0.9789507389068604),ci tools(0.9655216336250305),wincvs(0.9456351399421692),clear quest(0.9437867403030396),synergy(0.942777156829834)
software products,application support(0.9520931839942932),application deployment(0.946307897567749),customer issues(0.9431042075157166),level design(0.9347885847091675),web - based applications.(0.9282826781272888)
performance test,unit testing(0.8931764960289001),performance testing(0.8889939785003662),web services testing(0.8830194473266602),mobile application(0.8730435967445374),integration(0.8724142909049988)
server configuration,desktop support(0.9673532843589783),exchange server(0.9639188051223755),networking concepts(0.9635536670684814),frame relay(0.9622980356216431),mcsa(0.9618692398071289)
troubleshoot issues.,cluster development(0.7550649046897888),bitbucket.(0.7493115663528442),cent os(0.711223304271698),orchestration tool(0.710567057132721),winscp.(0.7023897171020508)
user interaction,wireframes(0.9599490761756897),ui development(0.9576310515403748),scratch(0.9505731463432312),project development.(0.9471175670623779),ui design(0.9426490068435669)
time estimation.,code optimization(0.8644593954086304),software development life - cycle(0.8636077046394348),testing skills(0.8616781830787659),design documentation(0.8562948703765869),business requirements(0.8388845920562744)
vm ware,nant(0.9489094018936157),fiddler(0.9327005743980408),bitbucket(0.9245181083679199),cvs(0.922852635383606),junit.(0.9224845170974731)
wiki,bug fixing.(0.9084210991859436),project development.(0.8874213099479675),zend(0.8632034659385681),ecommerce(0.8583893775939941),scratch(0.85738605260849)
wiki.,sas programming(0.8507175445556641),ms excel.(0.8499005436897278),decision support system(0.836925208568573),microsoft office programs(0.8332226872444153),quality analysis(0.8310021162033081)
acc,basic computer(0.9628699421882629),office skills(0.9555215239524841),autocad.(0.9552536606788635),punctuality.(0.9548011422157288),computer literate(0.9546678066253662)
oracle solaris studio,autocad 2d(0.953375518321991),solidworks(0.9519705176353455),project report(0.949537456035614),tally.(0.9462547302246094),sap mm module(0.9442492723464966)
xl,sap netweaver(0.9918068647384644),conceptual design(0.9899747967720032),apqp(0.9896740913391113),outsourcing(0.9895153641700745),ms-office(0.9894581437110901)
gprof,brokerage(0.9592700600624084),cmdb(0.956658661365509),staff management (3 years)(0.9566314816474915),cadence(0.956163763999939),account manager - sales(0.9560292363166809)
embedded linux.,nunit(0.9370065331459045),ivr(0.9343081116676331),scom(0.9304233193397522),database management systems(0.9294204711914062),back office sales(0.9288855195045471)
test systems,new business opportunities(0.9450938105583191),iris(0.9449821710586548),content writing(0.9376881718635559),sales and business development(0.9359455704689026),web content writing(0.935122549533844)
bsp,and rolls royce.(0.9935916662216187),my team were responsible for 4 major contracts utc aerospace systems (claverham) direct line feed(0.9933420419692993),achieved in excess of 99 % delivery adherence.(0.9933420419692993),creating(0.9933354258537292),developing and implementing new systems (in adherence with eudralex volume 4 guidelines)(0.9932595491409302)
xscale,bsp(0.9660573601722717),hbase.(0.9616355895996094),report preparation.(0.9611161947250366),stock taking of beauty products and ordering new stock(0.96101313829422),conducting functional assessments and in-house 'train the trainer' workshops in order to deliver bespoke(0.9604793190956116)
evms,hbase.(0.9781515598297119),app development.(0.9712270498275757),increased sales(0.9703027606010437),bsp(0.9688650369644165),software.(0.9685169458389282)
oracle solaris,shell script(0.7912776470184326),shell.(0.7774472832679749),perl(0.7625540494918823),windows server 2012 r2(0.7466130256652832),pyramid(0.7400713562965393)
linux systems,unix / linux systems(0.9391496777534485),linux systems.(0.9088729023933411),emc symmetrix(0.9071987867355347),clarion(0.8809093832969666),unix / linux(0.8615580797195435)
network printer,printers(0.9921836853027344),vdi(0.9827303886413574),microsoft operating systems(0.979581892490387),group policy(0.9795732498168945),access point(0.9793515801429749)
software deployment.,websense(0.8346460461616516),vrrp(0.8342917561531067),cisco ucs(0.8275542259216309),load - balancing.(0.82731032371521),nat(0.8263043761253357)
wmi,sql databases(0.8946166634559631),server technologies(0.8873559832572937),fiddler(0.865627110004425),apache tomcat.(0.8654472231864929),monitoring tool(0.8653982877731323)
network topologies.,t1(0.9630807638168335),switch configuration(0.9617000222206116),isdn(0.961375892162323),cabling(0.9602186679840088),help management(0.9594213962554932)
stp.,software support(0.947100818157196),ss7(0.9340969920158386),local area network(0.933608889579773),solar(0.9334923624992371),noc(0.9333024024963379)
osi model.,software support(0.9533302783966064),arbitration(0.9443932771682739),tl1(0.9435851573944092),specman(0.9434100985527039),drs(0.9432542324066162)
windows operating system,operating system.(0.9394981265068054),rtos(0.930241048336029),windows vista(0.9262736439704895),arduino(0.9178083539009094),cdl(0.9161959290504456)
win8,ms - outlook(0.8853084444999695),open office(0.8217622637748718),mac(0.8178111910820007),gpp(0.8139158487319946),linux commands(0.809503436088562)
self - learner,corrective action(0.9901403784751892),self-motivated(0.988506555557251),including site visits and/or use of the internet where it is necessary to confirm stock levels. maintain a written record of key points from conversations with customers or other departments. follow iso9000 procedures relevant to the customer service department ensure data on the epicor customer requirements area is accurate and up to date. help with the upkeep of a departmental procedures manual detailing methods. assist in the maintenance of the customer relationship system. assist in the maintenance of the customer complaints system upkeep of diary detailing movements of key staff sales support(0.988074779510498),ability to communicate effectively both orally and in writing(0.9880325794219971),photocopying(0.9878140687942505)
bcp,jax - rpc.(0.9454558491706848),jsp / servlets(0.9391327500343323),jasper reporting(0.9389594793319702),oracle soa suite(0.9356984496116638),rice components(0.9329249262809753)
drs,sccm(0.9882246851921082),cdma(0.9871582388877869),vmax(0.9866208434104919),fcip(0.9855484962463379),ndmp(0.9846617579460144)
hypervisors,emc dmx(0.9392646551132202),network printer(0.9370075464248657),vdi(0.9366575479507446),hyper - v(0.9356116652488708),wintel(0.93387371301651)
enterprise business.,vmware esxi(0.9494094848632812),esxi(0.9476649761199951),altiris(0.943601131439209),patch management(0.9433779716491699),ethernet(0.9421878457069397)
cisco ucs,vrrp(0.9848762154579163),asa(0.9830378293991089),infrastructure design(0.982184886932373),cisco asa(0.9802744388580322),failover(0.9784826636314392)
bcp.,vdi(0.9426913857460022),fedora(0.9369926452636719),windows server 2012(0.9353793859481812),wintel(0.9353334903717041),voicemail(0.9349992275238037)
p2v,windows 8.1(0.9564346671104431),microsoft operating systems(0.9417905211448669),windows server 2008(0.9390926957130432),sco(0.9388951063156128),network printer(0.9380452036857605)
resource utilization.,qxdm(0.9319489002227783),cabling(0.9309667348861694),mcse(0.9307037591934204),pl/sql database oracle 12c(0.9290978312492371),rhev(0.928661584854126)
huddle,product design.(0.9876331090927124),coordinating events(0.9867158532142639),taking notes & minutes(0.9866755604743958),strategic thinking & implementing new strategies(0.9864102005958557),knowledge and implementation of health and safety rules (and recently started the nebosh general certificate course). conducting safety watch observation programmes (swop)(0.9861707091331482)
rca,business needs.(0.971006453037262),problem resolution(0.9705831408500671),pds(0.9705599546432495),test plan.(0.9676682353019714),diagnosing(0.9657968282699585)
server operating systems,lte(0.9383577108383179),dsp(0.936418890953064),fcaps(0.9358542561531067),printers.(0.9347552061080933),wimax(0.934477686882019)
windows - xp,"excel , power point(0.9313198924064636)",powerpoint.(0.9072622656822205),power point(0.8992319107055664),ms word(0.8984885215759277),ms office ( word(0.8926594257354736)
windows - 7,my sql.(0.9076347351074219),ppt(0.899790346622467),c - language(0.8916890621185303),windows 8(0.8905765414237976),macos(0.8802334070205688)
fast track.,advertisement(0.9499426484107971),multi-tasking(0.9497569799423218),project execution.(0.948866069316864),french.(0.9487950205802917),fas(0.9487051367759705)
logical approach,project execution.(0.9456741213798523),hr policies(0.9445598721504211),account relationships(0.9442397952079773),supplier evaluation(0.9441906213760376),industry~retail(0.9441775679588318)
vmware infrastructure,symantec(0.9342454075813293),nis(0.9295274615287781),solaris volume manager.(0.9269295334815979),hyper - v(0.9229702353477478),esx(0.9224621653556824)
hyperv,os concepts(0.9268728494644165),emc tools(0.9096474647521973),administration(0.898549497127533),windows server.(0.8984131217002869),novell(0.8974717855453491)
windbg,mainframes(0.8438206911087036),ibm mainframes(0.8191567063331604),troubleshooting issues.(0.8095512390136719),websphere application server(0.8088976740837097),sockets(0.808742344379425)
bios,x86(0.987762987613678),cdma(0.9858685731887817),uniface(0.9843968749046326),umts(0.983232855796814),personal computer(0.9830553531646729)
objective c,hmi(0.9834375381469727),business problems(0.9804456233978271),maths(0.9786463379859924),business problems.(0.9783223271369934),industrial automation(0.9783209562301636)
"git , bitbucket",control systems(0.9638277888298035),version control systems(0.936968982219696),starteam(0.9318791627883911),entire sdlc.(0.9306856393814087),perforce(0.9293230175971985)
gcd,web / desktop(0.7937163710594177),"java , api(0.7848880290985107)",web browsers(0.7789883017539978),selenium / webdriver(0.7720785140991211),psql.(0.7686706185340881)
aircraft maintenance,beta(0.970374345779419),testing framework.(0.969755232334137),selenium ide.(0.9648107886314392),ent(0.9604285359382629),bfsi domain(0.9595874547958374)
wdm,cmdb(0.9915602803230286),banca sales(0.991206169128418),fcaps(0.9909801483154297),liaison(0.9909056425094604),network architecture(0.9908501505851746)
s1000d,technical publications(0.9216763973236084),ddn(0.9168280363082886),product features(0.8827970623970032),design reviews(0.8708418011665344),telecom domain(0.8566757440567017)
client interaction.,linux administration(0.942851185798645),cyberark(0.939308226108551),linux adminstration(0.9315557479858398),bank account(0.9302805066108704),windows administration(0.9248132109642029)
web content writing,research tools(0.9709147810935974),content writing(0.9667443633079529),article writing(0.9666388034820557),creating content(0.9661567211151123),iris(0.9656389951705933)
excellent written and verbal communication,attention to detail(0.9533643126487732),work ethic(0.9428548812866211),management information systems(0.9412411451339722),mortgage sales(0.9368607401847839),teamwork(0.9318529367446899)
documentation tools,powerpoint(0.8963281512260437),excel(0.8686347603797913),powerpoint.(0.8605625629425049),microsoft office tools(0.8592527508735657),ms office tools(0.8568748831748962)
cd.,service now(0.9621706008911133),jmock(0.953101396560669),hmc(0.951047420501709),jasper(0.9465672969818115),solaris.(0.9451000690460205)
terraform.,ehcache(0.9404634237289429),cli(0.9391334056854248),aws ec2(0.9356878399848938),gcp(0.934805691242218),iaas(0.9291270971298218)
sdlc ) processes.,aws environment(0.8466975688934326),agile software development methodologies(0.8453794121742249),software development methodologies(0.8449222445487976),qa testing.(0.8141116499900818),agile methodologies(0.8132576942443848)
dot - net,speech(0.906140148639679),speak : english(0.9057349562644958),management skill(0.9030236601829529),motivation.(0.9030215740203857),•	sap-terp 10 certification		 duisburg-essen university germany(0.9025185108184814)
automation test scripts.,competitor analysis(0.9336618781089783),performance analysis(0.93220055103302),general administration(0.9313924908638),spectrum(0.930936872959137),design thinking(0.9306235909461975)
hp - quality center,software testing(0.905126690864563),quality assurance testing(0.9028113484382629),black box testing(0.9015021324157715),"test cases , test plans(0.8990994691848755)",test plans(0.8967279195785522)
soapui.,mobile application testing(0.9448803067207336),ad - hoc(0.9433099627494812),integration testing(0.9392828941345215),cross browser testing(0.9389360547065735),quick test professional(0.937479555606842)
talend etl,birt(0.9878309369087219),aia(0.9843840599060059),pip(0.9836234450340271),oif(0.9802013039588928),cdi(0.9800019860267639)
creating content,promotional activities(0.9809379577636719),budgets.(0.9790924191474915),content marketing(0.978709876537323),close sales(0.9765958786010742),organisational skills(0.9748910069465637)
bottle,google play(0.9654474258422852),mobile technology(0.9600600004196167),landing pages(0.956945538520813),successful track record(0.9560677409172058),game design(0.950777530670166)
multi task,relationship - building(0.989020586013794),it software(0.9831387400627136),promoting(0.9830307960510254),results driven(0.9799131155014038),engineering management(0.9794833660125732)
"social media , advertising",marketing lead generation(0.908488392829895),marketing lead(0.8923360705375671),negotiation skills.(0.8916018009185791),adwords(0.8866879343986511),mass mailing(0.8735304474830627)
public relations.,marketing lead generation(0.9264899492263794),marketing lead(0.9262456893920898), service(0.9259912967681885),lead generation(0.9259277582168579),negotiation skills.(0.9257652163505554)
dataguard.,presentation skills.(0.8092618584632874),nurture relationships(0.8044253587722778),analytical skills(0.7986778616905212),presentation skills(0.7977254390716553),analytical thinking(0.7959644198417664)
oracle data guard.,business object(0.9706375598907471),cdi(0.9668987393379211),auditing.(0.9662111401557922),sap ep(0.9657976627349854),power sysrem protection(0.9654544591903687)
resolve performance issues.,osb(0.9706040024757385),expdp(0.96965092420578),wcc(0.9675588011741638),oem(0.9662606120109558),cdi(0.9654022455215454)
minimal supervision.,hard work(0.9815052151679993),management skills.(0.9778519868850708),django rest framework.(0.9726805686950684),leadership quality(0.9719312191009521),quick learner.(0.9694771766662598)
content optimization,keyword research(0.9793053269386292),blog(0.9779402017593384),editorial(0.9724568128585815),mailchimp(0.9712285399436951),social media optimization(0.9707844853401184)
seo tools,wordpress.(0.9710389971733093),adobe premiere(0.9672252535820007),mailchimp(0.9645367860794067),media.(0.9634379744529724),google analytics(0.9616433382034302)
asana.,manage stress(0.8588675856590271),customer - focused(0.8476877808570862),spanish(0.8384144902229309),medical terminology(0.8323609232902527),customer relationships.(0.8318332433700562)
grammar.,microsoft applications(0.7721259593963623),trend analysis(0.7548893690109253),microsoft word(0.7545261383056641),internet research(0.7492499351501465),windows operating systems(0.7469576001167297)
automation anywhere.,rpa tools(0.9596047401428223),rpa(0.9551364779472351),uipath(0.9524527192115784),specflow(0.934386134147644),brew.(0.9283396601676941)
rpa tools,automation anywhere.(0.9596047401428223),rpa(0.9388923645019531),sanity testing.(0.9388471841812134),"testing , automation(0.9367430806159973)",automation framework(0.9322147369384766)
data entry.,excellent communication skills.(0.9889782667160034),coaching / training(0.9866803288459778),mentor graphics(0.9866107106208801),corrective action(0.9857224225997925),productive and can build effective relationships.(0.9850431084632874)
data interpretation,elster (5 years)(0.9861471056938171),environmental health(0.986097514629364),problemlösungskompetenz(0.9859054684638977),ehs(0.9857993721961975),root cause analysis and fault reduction(0.9857310652732849)
coordination skills.,manage multiple tasks(0.9668052196502686),process control(0.9651814699172974),engineering design(0.964647650718689),active listening(0.9642886519432068),motivating.(0.9642820954322815)
problem solving ability.,teamwork.(0.9417740106582642),self - motivation.(0.9402836561203003),motivating.(0.9339967370033264),manage multiple tasks(0.9324913620948792),communication skill.(0.9317572116851807)
good logical,interpersonal skills(0.84014892578125),minimal supervision(0.8160033226013184),interpersonal(0.7910827994346619),analytical(0.7900261282920837),"interpersonal , communication(0.782272458076477)"
unix operating systems.,operating systems.(0.9002485871315002),outlook.(0.8894028663635254),microsoft office applications.(0.8888619542121887),microsoft windows server(0.8838966488838196),java programming language(0.880393385887146)
microsoft office applications.,java programming language(0.916312575340271),ms office.(0.90097576379776),internet(0.9005809426307678),unix operating systems.(0.8888620138168335),ms office application(0.8820412755012512)
coreldraw.,maya(0.959601879119873),flash(0.9587352871894836),adobe illustrator(0.9579975008964539),adobe photoshop.(0.9575681686401367),illustrator(0.955008864402771)
web browsing.,adobe indesign(0.8545369505882263),corel draw(0.8539267778396606),internet(0.8448487520217896),pspice(0.8284522891044617),computer skills(0.82675701379776)
data sources.,etl processes(0.944222629070282),tidal.(0.9428057670593262),microsoft ssrs(0.9406105875968933),database administration(0.93986976146698),dts(0.9395662546157837)
query studio.,cognos(0.9270607233047485),report studio(0.9061692953109741),query studio(0.9036725759506226),qlik view(0.8957414031028748),tm1(0.8895737528800964)
indexing,regular expression(0.9672095775604248),site search(0.9617412090301514),mda(0.9369713068008423),xsd.(0.9208000898361206),test methods(0.9103572964668274)
unix shell scripting.,business object(0.9897403120994568),application servers.(0.9878743886947632),mapinfo(0.9876857399940491),auditing.(0.9873364567756653),wherescape red(0.9871681332588196)
transformer.,microprocessor(0.9744443297386169),geography(0.9707623720169067),software support(0.9665688276290894),soldering(0.9650402069091797),control wiring(0.9593260884284973)
snow flake schema,spufi(0.9838446378707886),informatica powercenter(0.9798072576522827),business object(0.9793035387992859),oracle business intelligence(0.9776789546012878),star schema(0.9773081541061401)
ms - powerpoint,visualizer(0.9457220435142517),winscp(0.9323529005050659),servicenow(0.9303644299507141),ibm rsa(0.9283316135406494),ms - excel(0.9280581474304199)
managed it services,graphic design skills(0.7029904723167419),adobe marketing cloud(0.7018833160400391),adobe campaign(0.6530461311340332),tag manager(0.611818790435791),"cloud , saas(0.5979114770889282)"
client on boarding,ensuring compliance(0.9887508749961853),customer instructions(0.9861484169960022),loss mitigation(0.9856855869293213),business relationship(0.9846851229667664),dispute resolution(0.9845533967018127)
general banking,customer instructions(0.9725164771080017),e commerce(0.9711131453514099),tpm(0.9689249992370605),ensuring compliance(0.9682918190956116),jit(0.968008816242218)
corporate banking.,capital markets(0.9757557511329651),ohsas 18001(0.9747368693351746),customer centric(0.9741538763046265),corporate restructuring(0.9735795259475708),vendor relations(0.9735163450241089)
tax planning,underwriting(0.9561927914619446),computer applications(0.9554724097251892),office support(0.9545288681983948),administrative support(0.9538241028785706),customer services(0.9536152482032776)
mis report.,dbase(0.9667980074882507),cad.(0.9659967422485352),computer basics(0.9658887386322021),catia(0.9657240509986877),rca root cause analysis investigations(0.9632263779640198)
excel sheets,pcr(0.9857938289642334),sap scm(0.9837646484375),conditional formatting(0.979824960231781),essbase(0.979398787021637),foxpro(0.9774693250656128)
payroll software.,2008)(0.979699432849884),catia(0.9787956476211548),2005(0.9786419868469238),project(0.9782862663269043),sql server (2000(0.9782851338386536)
mass - mailing,waste water treatment(0.9724600911140442),water treatment plant(0.9697078466415405),autodesk inventor(0.9691023230552673),civil engineering(0.9654129147529602),ansys(0.9638670682907104)
manpower planning.,survey(0.9653801321983337),recruitment process(0.9573987126350403),performance analysis(0.9566905498504639),housing(0.9528990387916565),synthesis(0.9528399705886841)
swot analysis.,analysis.(0.984139084815979),swot analysis(0.9823813438415527),timely delivery(0.9814123511314392),gc(0.981057345867157),performance indicators(0.9808330535888672)
pms,business excellence(0.990607500076294),vendor selection(0.9875770807266235),business strategy(0.9861944913864136),business strategies(0.986169695854187),statutory compliance(0.9859951138496399)
policy implementation.,ict(0.9340832829475403),graphic designing(0.9332705736160278),market research(0.9323416352272034),teaching(0.9311221837997437),information gathering(0.9249411225318909)
"travel , services",market research(0.9170231223106384),manage projects(0.9160758852958679),graphic designing(0.9124811887741089),information gathering(0.9099922180175781),copywriting(0.9062833786010742)
creative writing,content editing(0.9450444579124451),grammar(0.9444485902786255),scientific research(0.9404726624488831),content writing(0.9370699524879456),entrepreneurship(0.9365772008895874)
article writing,researching(0.9805170297622681),photography(0.9784771203994751),brand awareness(0.9772205948829651),bde(0.977033793926239),script writing(0.9765855073928833)
feature writing,distribution networks(0.9235506653785706),general labor(0.920211672782898),unix data warehousing informatica power center 9.0.1/9.6.1(designer(0.9196462035179138),packing(0.9191530346870422),software program(0.9180912971496582)
data blending,information design(0.9729765057563782),calculations(0.9684846997261047),universe designer(0.9672157168388367),idt(0.9664047360420227),sql server analysis services(0.965450644493103)
donut,data blending(0.9575788378715515),information design(0.9555191993713379),xcelsius(0.9535377621650696),web intelligence(0.9506562948226929),hcm.(0.9497742056846619)
netbeans ide,axis(0.9474160075187683),tsl(0.9404553771018982),socket.io(0.9304326176643372),script language(0.9157777428627014),web / app.(0.9143162965774536)
spring core,aop(0.9782447218894958),dao(0.9760749340057373),spring - ioc(0.9742497801780701),dependency injection(0.9699360728263855),java 6(0.9693150520324707)
rest.,design engineering(0.9100318551063538),presenting(0.9082870483398438),leadership development(0.9000499844551086),claims processing(0.8994887471199036),technical issues(0.8969958424568176)
spring data jpa.,java - programming(0.8240456581115723),websphere message broker(0.8115265965461731),fico blaze(0.7966717481613159),activemq.(0.7896917462348938),jetty.(0.7894077897071838)
spring data,spring data jpa(0.9759079217910767),object relational mapping(0.9646376371383667),factory(0.9550287127494812),micro services(0.9531027674674988),microservices(0.9525596499443054)
jpa.,business services(0.9697309136390686),esi(0.9669328331947327),accounts.(0.9656592607498169),induction(0.9656484127044678),global sales(0.9647519588470459)
spring cloud.,foundry(0.9289069771766663),"service , auto(0.9167440533638)",cloud platforms(0.9165763854980469),amazon emr(0.9078901410102844),ecs(0.9077470898628235)
